Model,Codec,Level,Ethnic,raw_genuine_mean (%),std_genuine (percentage points),raw_impostor_mean (%),std_impostor (percentage points),norm_genuine_mean,norm_impostor_mean,FRR (%),FAR (%),EER (%),Threshold (normalized score),Macro-Average EER (%),SER
magface,HEIC,L1,Chinese,99.69,0.24,32.01,11.15,6.07,0.00,0.00,0.00,0.00,5.97,0.00,
magface,HEIC,L1,Indian,99.69,0.28,47.22,16.04,3.27,0.00,0.00,0.00,0.00,3.18,0.00,
magface,HEIC,L2,Malay,99.54,0.33,37.06,13.56,4.61,0.00,0.00,0.00,0.00,4.52,0.00,
magface,HEIC,L2,Chinese,99.61,0.24,32.03,11.13,6.07,0.00,0.00,0.00,0.00,5.98,0.00,
magface,HEIC,L2,Indian,99.66,0.29,47.31,15.95,3.28,0.00,0.00,0.00,0.00,3.19,0.00,
magface,HEIC,L3,Malay,99.00,0.58,37.21,13.60,4.54,0.00,0.00,0.00,0.00,4.35,0.00,
magface,HEIC,L3,Chinese,98.82,0.44,32.46,11.10,5.98,0.00,0.00,0.00,0.00,5.91,0.00,
magface,HEIC,L3,Indian,99.25,0.44,47.60,15.85,3.26,0.00,0.00,0.00,0.00,3.19,0.00,
magface,HEIC,L4,Malay,94.97,2.31,38.08,13.55,4.20,0.00,0.00,0.00,0.00,3.56,0.16,
magface,HEIC,L4,Chinese,94.55,2.14,33.13,11.19,5.49,0.00,0.00,0.00,0.00,5.03,0.16,
magface,HEIC,L4,Indian,96.02,3.45,48.46,15.86,3.00,0.00,0.49,0.49,0.49,2.15,0.16,
magface,HEIC,L5,Malay,88.69,4.81,38.47,13.40,3.75,0.00,0.28,0.28,0.28,2.72,1.49,13.25
magface,HEIC,L5,Chinese,87.81,5.56,33.33,11.14,4.89,0.00,0.49,0.49,0.49,3.18,1.49,13.25
magface,HEIC,L5,Indian,91.49,5.47,49.73,15.74,2.65,0.00,3.70,3.70,3.70,1.78,1.49,13.25
mobilefacenet,NONE,L0,Malay,100.00,0.00,43.72,9.54,5.90,0.00,0.00,0.00,0.00,5.90,0.00,
mobilefacenet,NONE,L0,Chinese,100.00,0.00,35.87,10.08,6.36,0.00,0.00,0.00,0.00,6.36,0.00,
mobilefacenet,NONE,L0,Indian,100.00,0.00,31.96,13.25,5.13,0.00,0.00,0.00,0.00,5.13,0.00,
mobilefacenet,JPEG,L1,Malay,99.78,0.09,43.36,9.60,5.88,0.00,0.00,0.00,0.00,5.85,0.00,
mobilefacenet,JPEG,L1,Chinese,99.77,0.11,35.66,10.13,6.33,0.00,0.00,0.00,0.00,6.29,0.00,
mobilefacenet,JPEG,L1,Indian,99.77,0.11,31.66,13.20,5.16,0.00,0.00,0.00,0.00,5.13,0.00,
mobilefacenet,JPEG,L2,Malay,99.60,0.15,43.24,9.58,5.88,0.00,0.00,0.00,0.00,5.83,0.00,
mobilefacenet,JPEG,L2,Chinese,99.60,0.15,35.53,10.14,6.32,0.00,0.00,0.00,0.00,6.27,0.00,
mobilefacenet,JPEG,L2,Indian,99.58,0.21,31.46,13.27,5.13,0.00,0.00,0.00,0.00,5.10,0.00,
mobilefacenet,JPEG,L3,Malay,97.65,0.93,41.96,9.55,5.83,0.00,0.00,0.00,0.00,5.47,0.00,
mobilefacenet,JPEG,L3,Chinese,97.56,1.32,34.62,10.24,6.15,0.00,0.00,0.00,0.00,5.52,0.00,
mobilefacenet,JPEG,L3,Indian,97.77,1.19,30.62,13.15,5.10,0.00,0.00,0.00,0.00,4.61,0.00,
mobilefacenet,JPEG,L4,Malay,86.91,3.16,39.10,9.35,5.11,0.00,0.00,0.00,0.00,4.42,0.01,
mobilefacenet,JPEG,L4,Chinese,84.53,3.77,31.44,9.77,5.43,0.00,0.00,0.00,0.00,4.62,0.01,
mobilefacenet,JPEG,L4,Indian,85.74,5.03,28.49,12.87,4.45,0.00,0.03,0.03,0.03,2.87,0.01,
mobilefacenet,JPEG,L5,Malay,38.78,10.45,23.32,7.71,2.00,0.00,20.37,20.37,20.37,0.82,17.84,1.59
mobilefacenet,JPEG,L5,Chinese,38.15,7.77,19.72,7.25,2.54,0.00,12.79,12.79,12.79,1.15,17.84,1.59
mobilefacenet,JPEG,L5,Indian,37.45,12.87,17.57,9.21,2.16,0.00,20.37,20.37,20.37,0.81,17.84,1.59
mobilefacenet,JXL,L1,Malay,99.92,0.02,43.69,9.56,5.88,0.00,0.00,0.00,0.00,5.88,0.00,
mobilefacenet,JXL,L1,Chinese,99.92,0.03,35.88,10.08,6.35,0.00,0.00,0.00,0.00,6.34,0.00,
mobilefacenet,JXL,L1,Indian,99.89,0.07,31.95,13.27,5.12,0.00,0.00,0.00,0.00,5.10,0.00,
mobilefacenet,JXL,L2,Malay,99.83,0.05,43.71,9.56,5.87,0.00,0.00,0.00,0.00,5.86,0.00,
mobilefacenet,JXL,L2,Chinese,99.84,0.05,35.89,10.08,6.34,0.00,0.00,0.00,0.00,6.32,0.00,
mobilefacenet,JXL,L2,Indian,99.79,0.12,31.97,13.29,5.10,0.00,0.00,0.00,0.00,5.06,0.00,
mobilefacenet,JXL,L3,Malay,98.76,0.30,43.66,9.55,5.77,0.00,0.00,0.00,0.00,5.69,0.00,
mobilefacenet,JXL,L3,Chinese,98.64,0.41,35.89,10.12,6.20,0.00,0.00,0.00,0.00,6.09,0.00,
mobilefacenet,JXL,L3,Indian,98.62,0.51,32.10,13.19,5.04,0.00,0.00,0.00,0.00,4.93,0.00,
mobilefacenet,JXL,L4,Malay,90.27,2.62,42.76,9.43,5.04,0.00,0.00,0.00,0.00,4.34,0.00,
mobilefacenet,JXL,L4,Chinese,89.01,3.13,34.07,9.75,5.63,0.00,0.00,0.00,0.00,4.92,0.00,
mobilefacenet,JXL,L4,Indian,89.46,3.77,31.66,13.07,4.42,0.00,0.00,0.00,0.00,3.26,0.00,
mobilefacenet,JXL,L5,Malay,84.34,4.02,40.84,9.17,4.75,0.00,0.00,0.00,0.00,3.50,0.47,
mobilefacenet,JXL,L5,Chinese,80.16,4.72,31.57,9.79,4.96,0.00,0.00,0.00,0.00,3.65,0.47,
mobilefacenet,JXL,L5,Indian,82.71,5.70,30.25,12.85,4.08,0.00,1.40,1.40,1.40,2.03,0.47,
mobilefacenet,HEIC,L1,Malay,99.76,0.09,43.55,9.57,5.87,0.00,0.00,0.00,0.00,5.84,0.00,
mobilefacenet,HEIC,L1,Chinese,99.79,0.08,35.72,10.11,6.34,0.00,0.00,0.00,0.00,6.32,0.00,
mobilefacenet,HEIC,L1,Indian,99.75,0.11,31.83,13.21,5.14,0.00,0.00,0.00,0.00,5.12,0.00,
mobilefacenet,HEIC,L2,Malay,99.72,0.10,43.51,9.57,5.87,0.00,0.00,0.00,0.00,5.83,0.00,
mobilefacenet,HEIC,L2,Chinese,99.73,0.10,35.68,10.13,6.33,0.00,0.00,0.00,0.00,6.30,0.00,
mobilefacenet,HEIC,L2,Indian,99.70,0.12,31.78,13.20,5.14,0.00,0.00,0.00,0.00,5.12,0.00,
mobilefacenet,HEIC,L3,Malay,99.33,0.18,43.38,9.64,5.80,0.00,0.00,0.00,0.00,5.75,0.00,
mobilefacenet,HEIC,L3,Chinese,99.15,0.28,35.72,10.15,6.25,0.00,0.00,0.00,0.00,6.17,0.00,
mobilefacenet,HEIC,L3,Indian,99.25,0.28,31.62,13.08,5.17,0.00,0.00,0.00,0.00,5.08,0.00,
mobilefacenet,HEIC,L4,Malay,96.99,0.71,43.23,9.62,5.59,0.00,0.00,0.00,0.00,5.37,0.00,
mobilefacenet,HEIC,L4,Chinese,96.38,1.19,35.53,10.15,5.99,0.00,0.00,0.00,0.00,5.58,0.00,
mobilefacenet,HEIC,L4,Indian,96.76,1.00,31.87,13.22,4.91,0.00,0.00,0.00,0.00,4.69,0.00,
mobilefacenet,HEIC,L5,Malay,92.53,1.76,42.51,9.43,5.30,0.00,0.00,0.00,0.00,4.94,0.00,
mobilefacenet,HEIC,L5,Chinese,90.62,2.73,34.77,10.15,5.50,0.00,0.00,0.00,0.00,4.73,0.00,
mobilefacenet,HEIC,L5,Indian,91.22,2.90,31.27,13.15,4.56,0.00,0.00,0.00,0.00,3.63,0.00,
